ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,exchange_rate_unofficial,wage_non_qualified_labour_non_agricultural,wage_qualified_labour,o_exchange_rate_unofficial,h_exchange_rate_unofficial,l_exchange_rate_unofficial,c_exchange_rate_unofficial,inflation_exchange_rate_unofficial,trust_exchange_rate_unofficial,o_wage_non_qualified_labour_non_agricultural,h_wage_non_qualified_labour_non_agricultural,l_wage_non_qualified_labour_non_agricultural,c_wage_non_qualified_labour_non_agricultural,inflation_wage_non_qualified_labour_non_agricultural,trust_wage_non_qualified_labour_non_agricultural,o_wage_qualified_labour,h_wage_qualified_labour,l_wage_qualified_labour,c_wage_qualified_labour,inflation_wage_qualified_labour,trust_wage_qualified_labour
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,1/1/2007,2007,1,AFN,,,,50.57,51.04,50.12,50.57,,10,253.21,255.62,250.89,253.23,,9.6,1432.53,1446.46,1416.69,1432.39,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,2/1/2007,2007,2,AFN,,,,50.58,51.04,50.12,50.8,,10,253.28,255.65,250.91,252.3,,9.6,1431.43,1455.2,1416.55,1455.2,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,3/1/2007,2007,3,AFN,,,,50.87,51.3,50.45,50.86,,10,252.01,253.54,250.48,253.28,,9.6,1462.14,1475.35,1433.8,1433.8,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,4/1/2007,2007,4,AFN,,,,50.88,51.25,50.51,50.79,,10,253.61,254.83,252.38,254.62,,9.6,1427.48,1439.61,1386.36,1386.36,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,5/1/2007,2007,5,AFN,,,,50.77,51.08,50.45,50.72,,10,254.59,258.59,253.52,258.59,,9.6,1372.64,1385.4,1341.78,1341.78,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,6/1/2007,2007,6,AFN,,,,50.7,50.97,50.42,50.84,,10,258.81,260.82,256.8,257.8,,9.6,1328.87,1366.47,1317,1366.47,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,7/1/2007,2007,7,AFN,,,,50.87,51.13,50.61,50.69,,10,256.78,258.21,255.4,258.21,,9.6,1374,1386.75,1356.46,1356.46,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,8/1/2007,2007,8,AFN,,,,50.64,50.9,50.38,50.78,,10,258.39,259.6,257.18,257.59,,9.6,1353.47,1364.4,1342.55,1364.11,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,9/1/2007,2007,9,AFN,,,,50.81,51.08,50.54,50.79,,10,257.42,260.31,256.39,260.31,,9.6,1366.43,1375.77,1319,1319,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,10/1/2007,2007,10,AFN,,,,50.79,51.06,50.52,50.83,,10,260.81,262.39,259.24,260.49,,9.6,1305.92,1318.22,1293.61,1302.39,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,11/1/2007,2007,11,AFN,,,,50.84,51.11,50.48,50.48,,10,259.9,261.43,258.77,261.43,,9.6,1297.51,1307.42,1253.02,1253.02,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,12/1/2007,2007,12,AFN,,,,50.36,50.66,50.06,50.55,,10,261.49,270.87,260.32,270.87,,9.6,1238.77,1250.77,1098.84,1098.84,,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,1/1/2008,2008,1,AFN,,,,50.57,50.88,50.26,50.32,-0.49,10,271.95,278.57,267.56,278.57,10,9.6,1067.53,1088.75,1004.05,1004.05,-29.9,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,2/1/2008,2008,2,AFN,,,,50.25,50.56,49.71,49.71,-2.14,10,277.35,281.31,271.63,271.63,7.66,9.6,978.11,1094.7,958.57,1094.7,-24.77,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,3/1/2008,2008,3,AFN,,,,49.51,49.86,49.15,49.67,-2.34,10,268.89,273.2,265.56,273.2,7.86,9.6,1124.32,1155.91,1045.94,1045.94,-27.05,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,4/1/2008,2008,4,AFN,,,,49.65,50.22,49.29,50.22,-1.13,10,274.84,278.85,272.09,278.85,9.51,9.6,1031.93,1060.3,963.27,963.27,-30.52,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,5/1/2008,2008,5,AFN,,,,50.4,50.79,50.01,50.29,-0.85,10,279.33,284.93,276.84,284.93,10.19,9.6,940.53,964.92,879.81,879.81,-34.43,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,6/1/2008,2008,6,AFN,,,,50.32,50.7,49.83,49.83,-1.98,10,284.43,290.56,281.44,290.56,12.71,9.6,856.95,877.93,831.93,831.93,-39.12,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,7/1/2008,2008,7,AFN,,,,49.68,50.83,49.3,50.83,0.29,10,289.84,295.41,286.52,295.41,14.41,9.6,818.42,834.74,802.11,806.68,-40.53,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,8/1/2008,2008,8,AFN,,,,51.16,51.72,50.6,50.76,-0.05,10,294.68,297.99,291.47,297.99,15.68,9.6,799.31,811.97,779.7,779.7,-42.84,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,9/1/2008,2008,9,AFN,,,,50.74,51.32,50.17,51.17,0.76,10,297.15,301.57,294.71,301.57,15.85,9.6,771.93,782.4,751.6,751.6,-43.02,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,10/1/2008,2008,10,AFN,,,,51.31,51.85,50.76,51.01,0.37,10,301.4,303.93,298.88,301.17,15.62,9.6,743.45,765.08,734.43,765.08,-41.26,9.7
AFG,Afghanistan,Kabul,Kabul,Kabul,34.516667,69.183333,gid_345166670691833330,11/1/2008,2008,11,AFN,,,,50.97,52.35,50.5,52.35,3.71,10,300.27,301.89,293.82,293.82,12.39,9.6,769.24,803.93,760.56,803.93,-35.84,9.7
